"Survey.Years","Sex","Age.Group","Measure","Percent","Standard.Error","Lower.95..CI.Limit","Upper.95..CI.Limit"
"2003-2004","Male","70 and over","High Total Cholesterol",61.2,4.86,53.9433784207096,64.9660846235231
"2003-2004","Male","6-11","Obesity",11.7,3.24,6.61379402636085,15.4031585342484
"2017-2018","Female","40-49","High Total Cholesterol",21,6.55,15.688795636408,25.6500574046513
"2001-2002","Male","12-19","Obesity",85.4,4.35,82.3898607567884,92.5091275654035
"2009-2010","Female","12-19","High Total Cholesterol",52.4,6.47,47.3963867077604,58.5384391767206
"2007-2008","Female","60-69","Obesity",38.5,4.11,31.2746262471192,44.5370619379682
"2005-2006","Female","50-59","Obesity",53.4,5.05,49.050863182731,55.8465136104263
"2009-2010","Female","6-11","Hypertension",14.5,2.33,11.8592469466385,21.0984106541146
"2015-2016","Female","30-39","High Total Cholesterol",46.3,2.52,43.5273116025608,51.6111312936526
"2017-2018","Female","40-49","Obesity",19.2,7.35,14.5745883979136,26.16354354301
"2007-2008","Male","12-19","Hypertension",23.9,7.45,20.2570670107147,26.7890298836632
"2003-2004","Female","2-5","Obesity",73.3,2.52,66.5801394700073,79.0060659590643
"2015-2016","Female","70 and over","Obesity",62,4.73,60.0432292120531,66.7564624188235
"2015-2016","Female","60-69","Hypertension",87.3,3.03,83.5872580016265,94.4313846020494
"2015-2016","Male","70 and over","High Total Cholesterol",15,7.42,10.9271555487067,16.8654914328363
"2003-2004","Male","2-5","Hypertension",42.2,6.85,38.381246854132,44.773952675797
"2013-2014","Female","60-69","Hypertension",45.6,4.13,39.629034338193,48.2883068464231
"2017-2018","Male","60-69","High Total Cholesterol",50.2,3.94,44.3440679327352,55.7155448092846
"2011-2012","Male","60-69","High Total Cholesterol",42.7,3.22,39.9803725962294,45.6482739483938
"2017-2018","Male","60-69","Hypertension",17.9,6.65,12.7895030387212,21.78630085357
"2015-2016","Female","60-69","Hypertension",65.2,6.96,60.9738684288925,70.9571835847339
"2003-2004","Female","60-69","Obesity",81.8,2.4,77.6897125228541,87.0696072143735
"2005-2006","Female","6-11","Obesity",28.3,6.43,23.0448802245781,35.5029111739248
"1999-2000","Male","6-11","Hypertension",69.6,3.96,65.3889921462629,76.9986226442503
"2011-2012","Male","6-11","High Total Cholesterol",83.9,4.89,82.0595902059926,86.6147571051028
"2007-2008","Male","12-19","High Total Cholesterol",3.9,3.31,-1.49385094167665,9.90317883864045
"2017-2018","Female","6-11","High Total Cholesterol",46.5,1.04,43.138709902647,49.184708983521
"2011-2012","Male","70 and over","Hypertension",25.6,1.66,19.6822555312188,28.8190300201764
"2015-2016","Female","70 and over","High Total Cholesterol",43.2,0.76,39.3382918589516,47.8072221511276
"2015-2016","Female","50-59","Obesity",38.4,3.17,31.0356187841156,42.2602248978568
"2017-2018","Female","30-39","Hypertension",75.7,5.49,68.6481751320418,79.5348217298044
"2011-2012","Male","40-49","High Total Cholesterol",14.6,2.29,10.9060992948012,17.2096556361299
"2007-2008","Male","6-11","High Total Cholesterol",78.6,3.34,70.9769960210193,83.4565616676351
"2011-2012","Male","2-5","High Total Cholesterol",37.1,6.13,29.7108465748839,41.6174131980166
"2007-2008","Male","6-11","High Total Cholesterol",56.9,6.06,55.2259765600087,60.1969340335112
"2009-2010","Female","6-11","Hypertension",14.2,3.2,12.2356988630956,17.7064165949589
"2015-2016","Female","30-39","High Total Cholesterol",79.7,5.73,73.6158420495223,83.2107824231964
